英文單字 (Word),詞性 (Part of Speech),中文字義 (Meaning)
abandon,v.,拋棄/放棄
abundant,adj.,豐富的
academic,adj.,學術的
accelerate,v.,加速
accessible,adj.,可接近的/易懂的
accommodation,n.,住宿
accompany,v.,陪伴
accomplish,v.,完成/實現
accumulate,v.,累積
accurate,adj.,準確的
accuse,v.,指控
acknowledge,v.,承認/感激
acquire,v.,獲得
adapt,v.,適應/改編
adequate,adj.,充足的
adjust,v.,調整
administration,n.,行政/管理
adolescent,n./adj.,青少年/青春期的
advocate,v./n.,提倡/擁護者
aesthetic,adj.,美學的
affection,n.,情感/愛慕
agenda,n.,議程
aggressive,adj.,具侵略性的/積極的
agriculture,n.,農業
alienate,v.,使疏遠
allocate,v.,分配
alternative,n./adj.,選擇/替代的
ambiguous,adj.,含糊不清的
ambition,n.,野心/抱負
amend,v.,修改/修訂
ample,adj.,充裕的
analogy,n.,比喻/類比
analysis,n.,分析
ancestor,n.,祖先
anecdote,n.,軼事/趣聞
anticipate,v.,預期
anxiety,n.,焦慮
apparent,adj.,明顯的
appetite,n.,食慾
applaud,v.,鼓掌
applicant,n.,申請人
appointment,n.,預約/任命
approach,v./n.,接近/方法
appropriate,adj.,適當的
approval,n.,贊成/批准
aptitude,n.,資質/才能
arbitrary,adj.,武斷的/任意的
archaeology,n.,考古學
arrogant,adj.,傲慢的
artificial,adj.,人造的
ascend,v.,上升/攀登
aspiration,n.,抱負/渴望
assault,n./v.,攻擊
assemble,v.,集合/組裝
assert,v.,斷言/主張
assessment,n.,評估
asset,n.,資產
assign,v.,指派
assimilate,v.,吸收/同化
assistance,n.,協助
associate,v.,聯想/交往
assumption,n.,假設
assurance,n.,保證/確信
astonish,v.,使驚訝
asylum,n.,庇護/避難所
attain,v.,達到/獲得
attendance,n.,出席
attitude,n.,態度
attribute,v./n.,歸因於/特質
auction,n./v.,拍賣
authentic,adj.,真實的/道地的
authority,n.,權威/當局
autonomy,n.,自治/自主權
avalanche,n.,雪崩
avenue,n.,大道
banish,v.,驅逐
barren,adj.,貧瘠的
barrier,n.,障礙物
baseline,n.,基準線
batch,n.,一批
beloved,adj.,心愛的
beneficial,adj.,有益的
betray,v.,背叛
beverage,n.,飲料
bias,n./v.,偏見
bizarre,adj.,怪異的
blunder,n./v.,大錯
boost,v./n.,促進/提升
boycott,v./n.,抵制
breakthrough,n.,突破
brilliant,adj.,聰穎的/燦爛的
brittle,adj.,脆的/易碎的
brochure,n.,小冊子
bureaucracy,n.,官僚體制
burial,n.,埋葬
abandon,v.,拋棄/放棄
abundant,adj.,豐富的
academic,adj.,學術的
accelerate,v.,加速
accessible,adj.,可接近的/易懂的
accommodation,n.,住宿
accompany,v.,陪伴
accomplish,v.,完成/實現
accumulate,v.,累積
accurate,adj.,準確的
accuse,v.,指控
acknowledge,v.,承認/感激
acquire,v.,獲得
adapt,v.,適應/改編
adequate,adj.,充足的
adjust,v.,調整
administration,n.,行政/管理
adolescent,n./adj.,青少年/青春期的
advocate,v./n.,提倡/擁護者
aesthetic,adj.,美學的
affection,n.,情感/愛慕
agenda,n.,議程
aggressive,adj.,具侵略性的/積極的
agriculture,n.,農業
alienate,v.,使疏遠
